customer_id,tenure_months,monthly_charges,total_charges,contract,internet_service,payment_method,tech_support,online_security,senior_citizen,churn
CUST-00001,7,18.0,120.09,Month-to-month,Fiber optic,Credit card,No,No,Yes,Yes
CUST-00002,56,33.93,1843.04,Month-to-month,Fiber optic,Credit card,Yes,No,Yes,No
CUST-00003,48,23.55,1072.2,Month-to-month,Fiber optic,Credit card,No,No,No,No
CUST-00004,32,18.0,531.78,One year,DSL,Credit card,No,No,No,No
CUST-00005,32,38.31,1158.73,Month-to-month,DSL,Bank transfer,Yes,No,No,Yes
CUST-00006,62,98.8,6288.39,One year,Fiber optic,Electronic check,Yes,No,No,No
CUST-00007,7,65.93,471.08,Two year,DSL,Credit card,Yes,No,Yes,No
CUST-00008,51,97.97,5344.77,Month-to-month,No,Electronic check,No,No,No,No
CUST-00009,15,76.86,1207.9,One year,No,Electronic check,No,No,No,No
CUST-00010,7,85.78,606.97,Month-to-month,DSL,Mailed check,Yes,No,No,No
CUST-00011,38,45.38,1624.44,Two year,No,Bank transfer,No,No,No,Yes
CUST-00012,71,79.57,5707.39,Two year,DSL,Bank transfer,No,No,No,No
CUST-00013,53,84.49,4163.86,Month-to-month,No,Electronic check,No,No,Yes,No
CUST-00014,55,53.16,2891.47,One year,No,Electronic check,No,Yes,No,No
CUST-00015,52,80.43,4108.92,Month-to-month,Fiber optic,Electronic check,No,No,No,No
CUST-00016,57,80.59,4540.57,Month-to-month,No,Electronic check,No,No,No,No
CUST-00017,37,53.81,1920.83,One year,DSL,Electronic check,No,No,Yes,No
CUST-00018,10,40.05,412.41,Month-to-month,DSL,Bank transfer,Yes,No,No,Yes
CUST-00019,61,38.58,2481.76,One year,No,Electronic check,No,No,No,No
CUST-00020,33,69.08,2377.58,Month-to-month,Fiber optic,Mailed check,No,No,No,Yes
CUST-00021,37,74.85,2826.06,Month-to-month,Fiber optic,Electronic check,No,No,No,Yes
CUST-00022,27,47.98,1303.41,Two year,DSL,Mailed check,Yes,Yes,No,No
CUST-00023,14,67.64,875.91,Month-to-month,DSL,Credit card,No,No,No,No
CUST-00024,67,80.69,5599.07,One year,No,Electronic check,Yes,Yes,No,No
CUST-00025,57,81.84,4698.45,Month-to-month,No,Electronic check,No,No,No,Yes
CUST-00026,47,104.25,4720.02,Two year,DSL,Bank transfer,No,No,No,No
CUST-00027,29,97.65,2753.85,One year,No,Electronic check,No,No,No,No
CUST-00028,60,42.97,2757.89,Month-to-month,Fiber optic,Credit card,No,Yes,No,No
CUST-00029,40,107.41,4381.89,Month-to-month,No,Credit card,Yes,Yes,No,No
CUST-00030,32,54.26,1729.63,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,No,No
CUST-00031,33,92.08,3097.43,Two year,DSL,Credit card,Yes,No,No,No
CUST-00032,17,68.63,1150.61,Month-to-month,Fiber optic,Mailed check,No,No,No,Yes
CUST-00033,7,57.11,397.86,Month-to-month,DSL,Mailed check,No,No,No,Yes
CUST-00034,40,23.62,913.1,One year,Fiber optic,Electronic check,No,No,No,No
CUST-00035,64,62.88,3985.59,Month-to-month,Fiber optic,Electronic check,No,No,No,No
CUST-00036,5,29.57,152.24,Month-to-month,DSL,Electronic check,No,Yes,Yes,No
CUST-00037,62,90.22,5181.9,Month-to-month,DSL,Mailed check,No,No,No,No
CUST-00038,60,103.4,6496.86,Month-to-month,Fiber optic,Mailed check,No,No,Yes,Yes
CUST-00039,20,47.87,924.16,One year,DSL,Electronic check,No,Yes,No,No
CUST-00040,46,74.25,3515.27,Two year,Fiber optic,Bank transfer,Yes,No,No,Yes
CUST-00041,12,49.59,608.67,Two year,Fiber optic,Electronic check,No,No,No,No
CUST-00042,55,51.92,2925.34,Two year,Fiber optic,Electronic check,No,No,No,Yes
CUST-00043,51,85.59,4440.61,Month-to-month,DSL,Electronic check,No,Yes,Yes,Yes
CUST-00044,26,66.08,1844.28,Month-to-month,DSL,Bank transfer,No,No,No,Yes
CUST-00045,5,108.75,544.48,One year,DSL,Mailed check,Yes,Yes,No,No
CUST-00046,70,55.43,4024.33,Two year,DSL,Bank transfer,No,No,No,No
CUST-00047,33,90.98,3101.03,One year,DSL,Electronic check,Yes,No,No,No
CUST-00048,65,69.34,4316.91,Month-to-month,DSL,Mailed check,No,No,No,No
CUST-00049,49,86.1,4072.63,One year,No,Credit card,Yes,No,Yes,Yes
CUST-00050,57,56.27,3168.4,One year,Fiber optic,Electronic check,No,Yes,No,Yes
CUST-00051,55,65.81,3490.81,Two year,Fiber optic,Mailed check,No,No,No,Yes
CUST-00052,15,64.23,942.91,One year,Fiber optic,Electronic check,Yes,Yes,No,Yes
CUST-00053,27,46.93,1245.0,Month-to-month,DSL,Electronic check,No,No,No,Yes
CUST-00054,34,82.89,2865.09,Month-to-month,DSL,Mailed check,Yes,No,No,No
CUST-00055,36,82.61,2840.67,Month-to-month,Fiber optic,Electronic check,No,No,No,No
CUST-00056,4,81.25,340.82,Month-to-month,No,Mailed check,No,No,No,Yes
CUST-00057,40,103.89,4114.07,Two year,No,Credit card,Yes,No,No,No
CUST-00058,12,101.78,1261.66,Month-to-month,Fiber optic,Electronic check,No,No,No,No
CUST-00059,54,58.0,2922.25,Month-to-month,Fiber optic,Electronic check,No,No,No,Yes
CUST-00060,50,75.95,3779.25,Month-to-month,Fiber optic,Credit card,No,Yes,No,No
CUST-00061,67,52.03,3222.87,One year,Fiber optic,Mailed check,No,No,Yes,No
CUST-00062,54,67.56,3750.92,Month-to-month,No,Credit card,No,No,No,No
CUST-00063,27,52.61,1384.95,Month-to-month,DSL,Electronic check,No,No,No,No
CUST-00064,70,105.88,7944.35,Two year,Fiber optic,Bank transfer,Yes,No,No,No
CUST-00065,30,75.73,2207.97,Month-to-month,DSL,Credit card,Yes,Yes,Yes,No
CUST-00066,24,61.77,1497.61,Month-to-month,Fiber optic,Electronic check,No,No,Yes,No
CUST-00067,66,95.65,6067.85,Month-to-month,Fiber optic,Credit card,No,No,No,Yes
CUST-00068,27,18.0,495.34,Month-to-month,Fiber optic,Bank transfer,Yes,No,Yes,No
CUST-00069,6,18.66,111.37,One year,DSL,Credit card,No,Yes,Yes,No
CUST-00070,34,86.1,2866.8,Two year,DSL,Electronic check,No,No,No,No
CUST-00071,58,68.45,3781.88,Month-to-month,No,Mailed check,No,No,Yes,Yes
CUST-00072,14,73.01,958.61,Two year,Fiber optic,Electronic check,No,No,No,No
CUST-00073,34,35.17,1123.05,One year,DSL,Credit card,No,No,No,No
CUST-00074,10,66.44,717.45,Month-to-month,Fiber optic,Electronic check,No,No,Yes,Yes
CUST-00075,50,115.08,5673.27,Month-to-month,Fiber optic,Electronic check,Yes,No,No,Yes
CUST-00076,35,86.78,2795.25,Month-to-month,No,Credit card,Yes,Yes,Yes,No
CUST-00077,24,71.07,1829.29,Two year,DSL,Electronic check,Yes,Yes,Yes,No
CUST-00078,17,56.46,886.1,Month-to-month,Fiber optic,Bank transfer,No,Yes,No,No
CUST-00079,41,57.53,2328.0,Month-to-month,DSL,Electronic check,Yes,No,No,No
CUST-00080,49,18.0,912.69,One year,DSL,Bank transfer,No,No,No,No
CUST-00081,68,73.18,5306.34,Two year,No,Electronic check,Yes,No,No,No
CUST-00082,32,87.29,2888.42,One year,DSL,Mailed check,No,No,No,No
CUST-00083,12,29.19,348.24,One year,Fiber optic,Bank transfer,No,Yes,No,No
CUST-00084,60,51.13,3300.68,Month-to-month,DSL,Electronic check,No,No,No,No
CUST-00085,46,39.22,1671.14,Two year,Fiber optic,Electronic check,No,No,No,No
CUST-00086,51,43.83,2409.47,Month-to-month,Fiber optic,Electronic check,No,Yes,No,No
